Date,Name,type,brewery,Rating,Price ,Ml,Abv,# beers prior,Service ,Weather,Food,storage,venue,Notes 
2017-06-01,The Kalash,Imperial Stout,hop nation,4,18,500,10.2,0,1,Cold,0,,,
2017-07-01,Munich Dunkel ,Munich Dunkel ,stomping grounds,4,,568,,,,,0,,,
2017-07-20,boilermaker,Whiskey Stout,Forrest Brewing company ,1,15,100,7.3,1,1,Cool,1,tap,forrest brewing company,medicinal nose and taste
2017-07-20,Pobblebonk,Saison,Forrest Brewing company ,2,7.5,100,7,0,1,Cool,0,tap,forrest brewing company,tasty for a saison
2017-07-20,imperial stout,imperial stout,cavalier,2,8.5,,8,1,. ,Warm,1,,,a bit bitter 
2017-07-20,Cherry vanilla ,Porter,Forrest Brewing company ,2,10,100,5,0.6,1,Cool,1,tap,forrest brewing company,Almost no flavour 
2017-07-20,roadknight,English Strong Ale,Forrest Brewing company ,2,15,100,6.5,0.4,1,Cool,1,tap,forrest brewing company,not great not bad 
2017-07-20,stout,Oatmeal Stout,Forrest Brewing company ,3,10,100,4.5,0.8,1,Cool,1,tap,forrest brewing company,good standard stout flavour 
2017-07-20,Untamed turkey,Double IPA,Forrest Brewing company ,3,15,100,7.5,0.2,1,Cool,0,tap,forrest brewing company,surprisingly tasty 
2017-07-20,block splitter ,Imperial stout,Forrest Brewing company ,3,15,,9,1.2,1,Cool,1,tap,forrest brewing company,standard flavour with almost fruity hint 
2017-07-21,The Kalash,Imperial Stout,hop nation,4,20,500,10.2,0,1,Cold ,1,,,"great nose, smooth complex flavour "
2017-07-22,The Kalash,Imperial Stout,hop nation,4,18,500,10.2,0,. ,Warm,1,,,better out on tap
2017-07-31,pale ale ,pale ale,mornington,3,10,,4.7,0,1,cool,1,,,"fruity initial smell and taste, lingering hoppiness"
2017-08-02,dubbel life,belgian dubbel,red hill,3,14,,7.3,0,1,cool,0,,,"savoury flavour, typical Belgian flavour "
2017-08-07,golden ,golden ale,two birs,2,5,,4.4,0,. ,2,1,,,"solid drink, nothing amazing "
2017-08-07,konig pilsner,pilsner,konig,2,9,,4.4,1,1,warm,1,,,very beery
2017-08-10,stillwater,imperial stout ,stillwater,3,11,,10,0,.,cool,1,,,
2017-08-13,Roger ramjet ,imperial stout ,boat rocker ,4,17,330,11.2,0,1,cool,1,bottle,,very smooth
2017-08-14,black metal disco,stout,black metal disco,3,10,500,5.4,0,.,cool,1,,,drinkable
2017-08-17,wild saison,saison,la sirene,2,12,,6.5,0,.,cool,0,,,"coppery smell, citrus flavours"
2017-08-18,barleywine 2016,barleywine,hawkers,4,18,,12.5,0,.,cool,0,,,"strong toffee flavour, great smell"
2017-08-21,Geuze boon 2013/2014,,boon brewery,2,11,,7,0,.,cool,0,,,intense sour
2017-08-26,hops on pointe,champagne pilsner,garage project,1,7.5,,6.7,4,1,Warm,1,,,
2017-08-26,golden ,golden ale,two birds,2,0,330,4.4,2,.,Cool,0,bottle,,not great
2017-08-26,taco,wheat ale,two birds,3,0,355,5.2,0,.,cool,0,,,yummy
2017-08-26,sunset,amber ale,two birds,3,0,330,4.6,1,.,cool,0,bottle,,yummy
2017-08-26,sunshine and opportunity,saison,almanac,4,17,,6.25,3,1,Warm,1,,,grapefruit
2017-08-31,baby face,imperial stout ,loose change range,2,16,,10,0,1,cool,0,,,typical flavour
2017-09-02,galactopus,barleywine,little bang brewery,1,12,,10.1,0.5,0,cool,1,,,"caramel, brutal aftertaste"
2017-09-02,kbs,imperial stout ,founders,4,26,568,11.2,2,1,cool,1,tap,,incredible on tap
2017-09-09,oatmeal stout,stout,stomping grounds,3,16,,6.3,0,.,warm,0,,,slight banana flavour?
2017-09-16,boston lager,lager,samuel adams,3,5.4,,4.8,0,.,cool,0,,,yummy caramel flavour
2017-09-16,pale ale ,pale ale,sierra nevada,3,5.6,,5.6,1,.,cool,1,,,
2017-09-21,bostom lager,lager,samuel adams,3,5.4,,4.8,1,.,warm,1,,,
2017-10-03,ink,coffee stout,rogue wave,3,11,,5.8,0,.,cool,1,,,birthday beer
2017-10-06,jedi juice,neipa,hop nation,3,8,355,7.1,1,.,cool,1,,,"rich full flavour, minimal bitterness"
2017-10-06,the heart,pale ale,hop nation,3,10,568,4.6,0,1,cool,0,tap,,"fruity, good session beer"
2017-10-08,Juicy IPA,ipa,3 ravens,3,4,355,6,0,.,cool,1,,,"good fruity, minimal bitterness"
2017-10-11,sample,pale ale,sample,2,5,285,4.7,0,1,cool,1,,,
2017-10-11,vintage ale,vintage ale,batemans,3,11,500,7.5,0,.,cool,1,,,2014
2017-10-16,road trip,american IPA,holgate,2,10,568,6.6,0,1,cool,0,tap,,
2017-10-17,braggot,honey ale,cavalier,2,6,330,6.7,0,.,cool,0,,,
2017-10-18,pale ale,pale ale,colonial,2,0,285,4.4,0,.,warm,0,,,
2017-10-18,bling ipa,india pale ale,bridge road,3,10,568,5.8,1,1,warm,0,tap,,
2017-10-19,black coffee ipa,india pale ale,cavalier,2,7,330,6.6,0,.,warm,1,,,
2017-10-20,saison,saison,napoleone,2,5,330,5.7,2,.,warm,1,,,
2017-10-20,la verte au genepi,absinth beer,brassiere du mont blanc,2,12,330,5.9,1,1,cool,1,,,absolutely bizarre
2017-10-21,jedi juice,neipa,hop nation,3,14,568,7.1,0,1,cold,1,tap,,
2017-10-25,matriarch,neipa,coconspirators,3,12,568,6.1,0,1,cold,1,tap,,smells great
2017-10-26,dead pony club,pale ale,brewdog,2,4,330,3.9,0,.,cool,1,,,
2017-10-27,bigmouth,ipa,yeastie boys,2,5,330,4.4,1,.,warm,1,,,
2017-10-27,bigmouth,ipa,yeastie boys,3,5,330,4.4,0,.,warm,1,,,
2017-10-29,aftermath,double ipa,kaiju beer,1,7,375,9.1,0,.,warm,1,,,
2017-11-01,golden ale,golden ale,venom,3,0,285,4.8,0,1,cold,1,,,
2017-11-04,sonrisa,lemon pale ale,buxton,1,8.5,285,4.7,0,1,cool,1,,,
2017-11-04,ipa,ipa,hawkers,3,8,330,6.5,1,.,warm,0,,,
2017-11-04,ipa,ipa,hawkers,3,8,330,6.5,2,.,warm,0,,,
2017-11-09,pablo esguava,fruit pale ale,stomping grounds,3,12,568,5.5,0,1,hot,1,,,
2017-11-10,rogers,amber ale,little creatures,3,12,568,3.8,1,1,cool,1,,,
2017-11-14,menabrea,lager,birra menabrea,2,8.9,330,4.8,0,1,hot,1,,,
2018-02-03,jedi juicy,neipa,hop nation,3,17,568,6.9,0,1,warm,0,,,
2018-02-03,if you like pina colada,neipa,bucket boys,4,7.5,285,6.7,2,1,warm,0,,,
2018-02-03,sangriaveza,,almanac,4,9,170,7.8,1,1,Warm,0,,,
2018-02-03,beer geek,stout,mikkeller,4,23.5,285,10.9,3,1,warm,0,,,
2018-02-05,Neapolitan Dynamite,imperial stout,stone,3,23.5,473,8.5,0,.,warm,0,,,
2018-03-01,sprocket ipa,ipa,bent spoke,3,9,285,7,0,1,warm,1,,,
2018-03-01,frootwood,cherry ale,founders,4,0,285,8,4,1,cool,1,tap,,
2018-03-01,canadian breakfast stout,imperial stout,founders,4,33,425,11.7,3,1,cool,1,tap,,hard to finish
2018-03-10,pilsner,pilsner,balter,3,8,375,4.9,0,0,warm,0,can,,best pilsner
2018-03-10,xpa,pale ale,balter,3,9,375,5,1,1,warm,1,can,,
2018-03-10,ira,india red ale,prancing pony,3,13,425,7.8,2,1,cool,1,,,
2018-03-10,selassie,imperial stout ,,4,9,100,11,3,1,warm,1,,,chocolate
2018-03-14,mainstay,amber ale,green beacon,3,0,285,5.2,0,1,warm,0,,,
2018-03-14,frootwood,cherry ale,founders,3,9,180,8,1,1,warm,0,keg,,
2018-05-10,Roger ramjet ,russian imperial stout,boat rocker ,4,27,425,11.2,2,1,warm,1,keg,,on tap
2018-08-27,colonial,ipa,colonial,3,0,285,6.5,4,1,warm,1,tap,,
2018-08-27,dogbolter,dark lager,matilda bay,3,14,570,5.2,3,1,warm,0,tap,,
2018-08-28,xpa,xpa,panhead,3,12,568,4.6,2,1,warm,1,keg,,
2018-08-28,pale ale,pale ale,little creatures,3,14,568,5.2,1,1,warm,1,bottle,,
2018-09-01,stupid amounts of mango,fruity imperial ipa,to ol,2,15,500,9.3,0,.,cool,1,can,,
2018-09-07,mr blonde 2018,fruit gose,to ol,3,11.5,500,4.5,0,1,cool,1,can,,
2018-09-09,10 lords a leaping,dark imperial wit ale,the bruery,4,30,700,10.5,1,1,cool,1,bottle,,
2018-09-16,trade winds,tripel,the bruery,4,30,700,8.6,0,1,cool,1,bottle,,
2018-09-20,amber blend 6,australian wild ale amber,wildflower,3,30,750,6,0,1,cool,0,bottle,,
2018-09-22,rock toffee,belgian dubbel,dainton brewery,2,5.5,355,6.3,0,.,warm,1,can,,
2018-09-22,bunker,porter,stomping grounds,2,6,355,6.2,1,.,warm,1,can,,
2018-09-23,the omen,Oatmeal Stout,grifter brewing co,3,7.5,375,5.5,0,.,warm,1,can,,
2018-09-28,sprocket ipa,ipa,bent spoke,3,13,568,7,0,1,cool,0,tap,bentspoke brewing co,
2018-09-28,here we joe again,sour,bentspoke,4,12,568,5,1,1,cool,0,tap,bentspoke brewing co,
2018-09-28,descent 18,Imperial Stout,bentspoke,4,12,320,12.5,2,1,Cool,0,tap,bentspoke brewing co,
2018-10-06,blonde,sour,hop nation,3,3,150,5.5,1,1,cool,0,bottle,hop nation,
2018-10-06,malibu stacy,milkshake ipa,hop nation,3,8,285,7.1,2,1,cool,0,tap,hop nation,
2018-10-06,festbier,festbier,weihenstephaner,3,12,568,5.8,0,1,warm,1,tap,,
2018-10-12,Juicy IPA,neipa,3 ravens,2,6.5,375,6,3,.,Warm,1,can,,
2018-10-12,7 bells,passionfruit gose,green beacon,3,5.5,375,4.2,1,.,warm,1,can,,
2018-10-12,white mischief,sour,garage project,3,6,330,2.9,0,.,warm,1,can,,
2018-10-12,citray sour,sour,la sirene,4,5,330,4.5,2,.,Warm,1,can,,
2018-10-17,tangerine,sour,fierce,2,13,375,4.5,0,1,warm,1,tap,,
2018-10-17,elderflower,sour,boat rocker ,3,8.5,285,4.5,1,1,warm,1,tap,,
2018-10-19,helles,lager,napoleone,2,11,568,4.3,1,1,warn,1,tap,,
2018-10-19,jedi juice,neipa,hop nation,3,11,355,7.1,0,1,warm,1,can,,
2018-10-20,solar flare,xpa,epic,2,0,500,4.8,2,1,cool,1,bottle,mr west,
2018-10-20,10 lords a leaping,dark imperial wit ale,the bruery,3,0,750,10.5,2,1,cool,1,bottle,mr west,
2018-10-20,hop tart blush,semi sour pale,holgate,3,0,150,4.6,4,1,cool,1,tap,mr west,
2018-10-20,schwang cherry,sour,little bang brewery,3,9,375,3,0,1,cool,1,tap,mr west,
2018-10-20,balkyn,imperial stout ,the garden,4,0,285,10.3,5,1,cool,1,tap,mr west,
2018-10-20,share this,imperial stout ,the bruery,4,40,750,10.5,1,1,cool,1,bottle,mr west,
2018-10-23,guava grisette,grissette,dainton brewery,1,12,575,5.5,2,1,warm,1,tap,,
2018-10-27,espresso black lager,black lager,shedshaker,1,2.5,100,5.2,2.75,1,warn,1,tap,,
2018-10-27,big red ale,red ale,shedshaker,2,2.5,100,5.8,2,1,warm,1,tap,,
2018-10-27,ay noo!,scotch ale,shedshaker,2,2.5,100,7.5,2.25,1,warm,1,tap,,
2018-10-27,fantale porter,porter,shedshaker,2,2.5,100,6.2,2.5,1,Warm,1,tap,,
2018-10-27,dark ale,dark ale,white rabbit,2,11,568,6,3,1,warm,1,tap,,
2018-10-30,splice of heaven,ipa,moon dog,4,13.5,568,6.5,0,1,warm,0,tap,,
2018-11-01,sabre,brut ipa,hop nation,1,4,200,6.5,3,1,warm,1,tap,,
2018-11-01,market,neipa,hop nation,2,14,568,6,0,1,warm,0,tap,,
2018-11-01,big red,barrel aged red ale,nomad,2,20,500,7,2,1,warm,1,bottle,,3 initially but hard to finish
2018-11-01,supersonic rainforest lime,dipa,nomad,4,20,500,7.8,1,1,warm,0,can,,
2018-11-02,dark ale,dark ale,moo brew,2,5,375,5,0,.,cool,1,can,,
2018-11-09,asam boj,gose,beerfarm,1,7,375,4.5,3,.,warm,1,can,,
2018-11-09,twang,sour,ballistic beer co,2,6,375,4.6,2,.,warm,1,can,,
2018-11-09,rosies raspberry sour ale,sour,nomad,3,4,330,3.8,0,.,warm,1,can,,
2018-11-09,cascara berry sour,sour,bodriggy,4,5,355,3,1,.,warm,1,can,,
2018-11-14,supersonic finger lime,dipa,nomad,2,5,200,7.1,0,1,cool,1,can,,
2018-11-15,kolsch,kolsch,sow & piglets,2,6,375,4.8,0,.,cool,1,can,,
2018-11-15,marzen,marzen,sow & piglets,3,7,375,5.8,1,.,cool,1,can,,
2018-11-17,the dawn,double neipa,hop nation,2,9,375,9,0,.,warm,1,can,,
2018-11-21,fixation ipa,ipa,fixation,3,14,568,6.4,0,1,warm,1,tap,,
2018-11-23,summer ale,summer ale,mountain goat,2,0,375,4.7,1,.,cool,0,can,,
2018-11-23,steam ale,steam ale,mountain goat,2,0,330,4.5,0,.,cool,0,bottle,,
2018-11-23,pale ale,pale ale,mountain goat,2,0,330,5.2,2,.,cool,0,bottle,,
2018-11-24,mystic iipa,iipa,bright brewery,1,3.5,90,9,0.6,1,cold,1,tap,,
2018-11-24,milkshake breakfast stout,stout,collective arts brewing,2,3.5,90,5.6,0,1,cold,0,tap,,
2018-11-24,blood lust,ipa,modus operandi,2,3.5,90,6.5,0.2,1,cold,0,tap,,
2018-11-24,cuvee bleu,wild ale,la sirene,3,3.5,90,7.2,0.4,1,cold,1,tap,,
2018-11-24,barrel breed 2018,barleywine,mountain goat,3,3.5,90,11.1,0.8,1,cold,1,tap,,
2018-11-27,session ale,session ale,cricketers arms,2,0,375,3.5,1,.,cool,1,can,,
2018-11-27,session ale,session ale,cricketers arms,3,0,375,3.5,0,.,cool,0,can,,
2018-11-29,spontanseabuckthorn,sour,mikkeller,3,25.5,375,7.7,0,1,warm,1,bottle,,
2018-12-01,pale ale,pale ale,moo brew,2,5,375,4.9,1,.,warm,1,can,,
2018-12-01,single hop,single hop,moo brew,3,5,440,4.8,0,.,warm,1,can,,
2018-12-03,stout,imperial stout,moo brew,2,5,375,8,0,.,cool,1,can,,
2018-12-05,mccrackens amber ale,amber ale,carlton,1,6,285,4.2,0,1,warm,0,tap,,
2018-12-05,watermelon smash,sour,stomping grounds,2,10,355,4.2,1,1,warm,0,can,,
2018-12-05,old skool,porter,valhalla brewing,3,9.5,440,5.6,2,.,warm,0,can,,
2018-12-07,coffee brown,brown ale,burnley brewing,2,0,150,5.3,0,1,warm,1,can,,
2018-12-07,stupid amounts of kiwi,iipa,to ol,3,11.25,500,9.3,1,.,cool,0,can,,
2018-12-09,passion victim,summer ale,two birds,2,10,425,5,0,1,warm,1,tap,,
2018-12-11,quickchange,xpa,panhead,3,0,285,4.6,0,1,cool,1,tap,,
2018-12-11,quickchange,xpa,panhead,3,10,575,4.6,0,1,cool,1,tap,,
2018-12-13,brooklyn lager,lager,brooklyn,3,13,575,6,0,1,cool,0,tap,,
2018-12-20,classic,pilsner,jacobinus,2,5,500,4.8,0,.,cool,1,bottle,home,
2018-12-20,hefe-weizen,hefeweizen,jacobinus,2,5.5,500,5.7,1,.,cool,1,bottle,home,
2018-12-21,super charger,apa,panhead,2,0,330,5.7,0,1,cool,0,bottle,,
2018-12-21,schlenkerla,smoked,bryggeri,2,0,500,5.1,2,1,cool,1,bottle,,
2018-12-21,passion victim,summer ale,two birds,2,0,330,5,4,.,warm,1,can,,
2018-12-21,manic mango,ipa,brewdog vs brewski,2,0,330,6,5,.,cool,1,bottle,,
2018-12-21,classic,red ale,rodenbach,2,4.5,250,5.2,3,.,cool,0,can,,
2018-12-21,original pils,pilsner,little creatures,3,0,330,4.6,1,1,warm,0,bottle,,
2018-12-22,ipa,ipa,hargreaves hill,2,0,568,6.2,2,1,cool,1,tap,,
2018-12-22,nwo,stout,temple brewing company,2,0,330,6.5,4,1,cool,0,bottle,,
2018-12-22,mr fruju,neipa,stockade brew co,3,0,568,6,0,1,cool,0,tap,,
2018-12-22,ipa,ipa,hargreaves hill,3,0,568,6.2,1,1,cool,0,tap,,
2018-12-22,hop tart,semi sour pale,holgate,3,0,330,4.6,3,1,cool,1,bottle,,
2018-12-24,pale ale,pale ale,burnley brewing,3,0,440,5.2,0,.,cool,0,can,,
2018-12-24,vpa,pale ale,nail brewing,3,0,375,6.5,1,.,cool,0,can,,
2018-12-25,alexander,red ale,rodenbach,2,5,110,5.6,1,.,hot,0,bottle,greg's house,
2018-12-25,first batch,lager,6 kinnane ct,3,0,200,3.8,2,.,hot,0,bottle,greg's house,
2018-12-25,affogato,imperial stout ,istout,4,12.5,200,10,3,.,cold,0,can,greg's house,
2018-12-25,lord raspberry,lambic,boat rocker ,4,38,200,6.2,0,.,hot,0,bottle,greg's house,
2018-12-25,lizard of koz,imperial stout ,founders,4,46,250,10.5,4,.,cool,0,bottle,greg's house,
2018-12-26,quickchange,xpa,panhead,3,14,575,4.6,0,1,cool,1,tap,,
2018-12-28,the forager,neipa,hop nation,1,13,425,7,2,1,warm,0,tap,,
2018-12-28,dark lager,dark lager,asahi,2,0,330,5.5,0,.,cool,0,bottle,,
2018-12-28,dark lager,dark lager,asahi,2,0,330,5.5,4,.,cool,1,bottle,,
2018-12-28,imperial,imperial dark ale,bridge road,3,9.5,285,11.7,3,1,warm,0,tap,,
2018-12-28,rhubarb sour ale,sour,tiny rebel,4,10.5,285,4,1,1,warm,0,tap,,
2018-12-29,taco,pale ale,two birds,2,14,568,5.2,1,1,cool,1,tap,,
2018-12-29,forager2,neipa,hop nation,3,0,285,6,0,1,cool,1,tap,,
2018-12-31,xpa,xpa,balter,2,4.5,375,5,0,.,cool,1,can,,
2018-12-31,xpa,xpa,balter,,4.5,375,5,1,.,cool,1,can,,
2018-12-31,xpa,xpa,balter,,4.5,375,5,2,.,cool,1,can,,
2018-12-31,xpa,xpa,balter,,4.5,375,5,3,.,cool,1,can,,
2019-07-26,citra,dipa,liberty brewing co,3,11,500,9,0,.,warm,0,bottle,,
2019-07-27,shredded,wcipa,croucher,2,4.5,200,6.5,0.25,1,cool,0,tap,brew craft beer pub,
2019-07-27,ultra,ipa,croucher,2,4.5,200,7,0.5,1,cool,1,tap,brew craft beer pub,
2019-07-27,the doctor,dark lager,the sawmill brewery,3,0,500,6.5,0,.,warm,0,bottle,,
2019-07-27,sawmill,ipa,hazy nelson sauvin,3,4.5,200,6,0,1,cool,0,tap,brew craft beer pub,
2019-07-27,hop zombie,dipa,epic,3,4.5,200,8.5,0.75,1,cool,1,tap,brew craft beer pub,
2019-07-28,fresh hop hazy,pale ale,parrotdog,2,0,440,5.5,0,.,warm,0,can,martin's house,
2019-07-28,coco-cacao stout,stout,parrotdog,3,0,440,6.5,1,.,warm,0,can,martin's house,
2019-07-29,pioneer,porter,mcleods,2,0,500,5.7,1,.,cool,1,bottle,martin's house,
2019-07-29,imperial oak aged stout,imperial stout,moa,2,9,500,10.2,0,.,cool,1,bottle,martin's house,
2019-07-30,cwd saison,saison,brothers beer,1,5,150,,0.4,0,cool,1,tap,brothers beer city works depot,
2019-07-30,honey trappe,belgian tripel,mike's,1,5,150,,0.8,0,cool,1,tap,brothers beer city works depot,
2019-07-30,mantecore,white ipa,brothers beer,2,0,250,6,1,0,cool,1,tap,brothers beer city works depot,
2019-07-30,plum sour,sour,brothers beer,2,5,150,,0,0,cool,1,tap,brothers beer city works depot,
